"birth_length" "birth_weight" "child_creativity" "child_iq" "youth_bmi" "youth_height" "youth_cognition" "adult_income" "adult_alco_bingeepisodes" "adult_bmi"
1 0.798692319787034 0.0159345824503798 0.0611766766070003 0.0658451258574925 0.259955768084112 0.0725425803703329 0.0168677658693916 -0.0143289385632801 0.0782289430602621
0.798692319787034 1 0.0204567032897481 0.0527095076725582 0.0999650012276066 0.22534415922392 0.0533229944146913 0.00504444699218715 -0.0186564564323749 0.103860933822848
0.0159345824503798 0.0204567032897481 1 0.50667502574241 -0.0337995278722593 0.0737703137063986 0.420236697026123 0.110560140677287 0.00643882480394922 -0.0619379179015424
0.0611766766070003 0.0527095076725582 0.50667502574241 1 -0.0391980493471135 0.158563412187082 0.718660013470088 0.127890736942086 0.00827634150829022 -0.0661173838693496
0.0658451258574925 0.0999650012276066 -0.0337995278722593 -0.0391980493471135 1 -0.0438813619597972 -0.0242537229358135 0.0187679437519682 -0.00351033127396989 0.509510972642835
0.259955768084112 0.22534415922392 0.0737703137063986 0.158563412187082 -0.0438813619597972 1 0.198736032934 0.0839869502864093 -0.0439532374574514 -0.0384553976617276
0.0725425803703329 0.0533229944146913 0.420236697026123 0.718660013470088 -0.0242537229358135 0.198736032934 1 0.176966189477874 -0.043673492249508 -0.0948902874242769
0.0168677658693916 0.00504444699218715 0.110560140677287 0.127890736942086 0.0187679437519682 0.0839869502864093 0.176966189477874 1 -0.03795477783033 -0.024737041775313
-0.0143289385632801 -0.0186564564323749 0.00643882480394922 0.00827634150829022 -0.00351033127396989 -0.0439532374574514 -0.043673492249508 -0.03795477783033 1 0.0304439502917022
0.0782289430602621 0.103860933822848 -0.0619379179015424 -0.0661173838693496 0.509510972642835 -0.0384553976617276 -0.0948902874242769 -0.024737041775313 0.0304439502917022 1
