"birth_length" "birth_weight" "child_creativity" "child_iq" "youth_bmi" "youth_height" "youth_cognition" "adult_income" "adult_alco_bingeepisodes" "adult_bmi"
1 0.633975817000927 -0.176480086596428 -0.164421130662701 -0.0355560829459127 0.517150083256161 0.0331019643146846 0.100346178639444 0.0812429892584111 -0.0113805617845638
0.633975817000927 1 -0.0783069823683979 -0.0492272240166647 -0.20062259647464 0.28476140004688 0.0657699854584524 0.0734729572509336 0.118579911555629 -0.146677895953855
-0.176480086596428 -0.0783069823683979 1 0.494086359235682 -0.137678853274621 0.00294202708237664 0.357632734056452 0.0250663683565617 -0.0568149767824172 -0.156784189660729
-0.164421130662701 -0.0492272240166647 0.494086359235682 1 0.0156147879936508 0.0806219612796427 0.691433700646958 0.219143744658287 -0.0638840996652716 0.0155268629397864
-0.0355560829459127 -0.20062259647464 -0.137678853274621 0.0156147879936508 1 -0.146387303616946 -0.0424604215874839 0.280038763304559 0.0320127910899756 0.564087292340559
0.517150083256161 0.28476140004688 0.00294202708237664 0.0806219612796427 -0.146387303616946 1 0.100018135224605 0.135308691610765 -0.0809133300655081 0.0389768202054952
0.0331019643146846 0.0657699854584524 0.357632734056452 0.691433700646958 -0.0424604215874839 0.100018135224605 1 0.232068201223195 0.00795897612069764 0.0188825678829427
0.100346178639444 0.0734729572509336 0.0250663683565617 0.219143744658287 0.280038763304559 0.135308691610765 0.232068201223195 1 -0.161570227535994 0.173378587461204
0.0812429892584111 0.118579911555629 -0.0568149767824172 -0.0638840996652716 0.0320127910899756 -0.0809133300655081 0.00795897612069764 -0.161570227535994 1 0.00782519258603545
-0.0113805617845638 -0.146677895953855 -0.156784189660729 0.0155268629397864 0.564087292340559 0.0389768202054952 0.0188825678829427 0.173378587461204 0.00782519258603545 1
