"n" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21" "x22" "x23" "x24" "x25"
"1" 50 1 0.502075664776928 0.418897345820682 -0.523803141057924 0.147951580103304 0.502075664776928 1 0.656669310905416 -0.721432026712325 0.428663829438196 0.418897345820682 0.656669310905416 1 -0.929580141080901 0.330615097334829 -0.523803141057924 -0.721432026712325 -0.929580141080901 1 -0.377128344404124 0.147951580103304 0.428663829438196 0.330615097334829 -0.377128344404124 1
"2" 50 1 -0.197316589323129 -0.132367252833008 0.131379329405792 0.423397301603804 -0.197316589323129 1 -0.285426386898285 -0.884537539427434 -0.0973430789947351 -0.132367252833008 -0.285426386898285 1 0.240168925583854 0.0168392351439123 0.131379329405792 -0.884537539427434 0.240168925583854 1 0.134560425183428 0.423397301603804 -0.0973430789947351 0.0168392351439123 0.134560425183428 1
"3" 50 1 -0.933897145332582 -0.944896343930294 -0.929644541790805 -0.654125403932992 -0.933897145332582 1 0.915401464802435 0.881082981511826 0.796110247140266 -0.944896343930294 0.915401464802435 1 0.988899629174665 0.681871399962505 -0.929644541790805 0.881082981511826 0.988899629174665 1 0.647947167156721 -0.654125403932992 0.796110247140266 0.681871399962505 0.647947167156721 1
"4" 50 1 -0.314812576912833 0.265491970362997 -0.447124267673442 0.0585673986644253 -0.314812576912833 1 -0.948282466885394 0.712622952571451 -0.0471080055818344 0.265491970362997 -0.948282466885394 1 -0.699710994576178 -0.0952508186582266 -0.447124267673442 0.712622952571451 -0.699710994576178 1 0.0446960367105316 0.0585673986644253 -0.0471080055818344 -0.0952508186582266 0.0446960367105316 1
"5" 50 1 0.464933524195717 0.243814483638098 0.200705832009832 -0.00455474110428354 0.464933524195717 1 0.32855977509386 0.333567085212442 0.160357052753406 0.243814483638098 0.32855977509386 1 0.899970162370892 -0.0997259479831744 0.200705832009832 0.333567085212442 0.899970162370892 1 -0.0885347375927047 -0.00455474110428354 0.160357052753406 -0.0997259479831744 -0.0885347375927047 1
"6" 50 1 0.475803750198316 0.589704842632456 0.195061100412697 -0.0160765298819945 0.475803750198316 1 -0.235059936531251 -0.165429823831609 0.202453717401196 0.589704842632456 -0.235059936531251 1 0.492795493131104 -0.331654088507378 0.195061100412697 -0.165429823831609 0.492795493131104 1 -0.660052830864499 -0.0160765298819945 0.202453717401196 -0.331654088507378 -0.660052830864499 1
"7" 50 1 0.728270656875402 0.121917804833212 -0.336522347797281 0.38546266608994 0.728270656875402 1 0.204413553979916 -0.198940137829556 0.243702151316272 0.121917804833212 0.204413553979916 1 0.618051996111672 -0.053928027896087 -0.336522347797281 -0.198940137829556 0.618051996111672 1 -0.159152484558028 0.38546266608994 0.243702151316272 -0.053928027896087 -0.159152484558028 1
"8" 50 1 -0.0413004570796466 0.204969138533843 0.465825732227766 0.888853819295613 -0.0413004570796466 1 0.00290300183673582 -0.0304191355199981 0.166185616640865 0.204969138533843 0.00290300183673582 1 0.00394454607748303 0.204526403232322 0.465825732227766 -0.0304191355199981 0.00394454607748303 1 0.375575927917392 0.888853819295613 0.166185616640865 0.204526403232322 0.375575927917392 1
"9" 50 1 0.177637214194076 -0.124156968186226 -0.156474756816459 -0.109580819452128 0.177637214194076 1 0.0130703766752332 -0.0620903561025647 -0.115938206022153 -0.124156968186226 0.0130703766752332 1 0.880888299045134 0.842221290858907 -0.156474756816459 -0.0620903561025647 0.880888299045134 1 0.951911202410701 -0.109580819452128 -0.115938206022153 0.842221290858907 0.951911202410701 1
"10" 50 1 0.0848182187179764 -0.01815421541868 0.0861868096628391 -0.107337433734386 0.0848182187179764 1 0.600395284757638 0.0925054688821146 -0.696143676640248 -0.01815421541868 0.600395284757638 1 0.315820204503243 -0.771086992389794 0.0861868096628391 0.0925054688821146 0.315820204503243 1 -0.00448028262296801 -0.107337433734386 -0.696143676640248 -0.771086992389794 -0.00448028262296801 1
"11" 50 1 0.698790612914566 0.463901627859318 0.204810771005889 -0.823898618716605 0.698790612914566 1 0.885399989995379 0.627416834656349 -0.954102730715334 0.463901627859318 0.885399989995379 1 0.373959216797856 -0.816685337148906 0.204810771005889 0.627416834656349 0.373959216797856 1 -0.489885772956462 -0.823898618716605 -0.954102730715334 -0.816685337148906 -0.489885772956462 1
